monthRowsCount== 44
Index 0 | Text: "157,142.80" | Numeric: 157142.8 | Running Sum: 157142.80
Index 1 | Text: "192,501.07" | Numeric: 192501.07 | Running Sum: 349643.87
Index 2 | Text: "74,241.66" | Numeric: 74241.66 | Running Sum: 423885.53
Index 3 | Text: "60,131.41" | Numeric: 60131.41 | Running Sum: 484016.94
Index 4 | Text: "29,678.05" | Numeric: 29678.05 | Running Sum: 513694.99
Index 5 | Text: "28,732.16" | Numeric: 28732.16 | Running Sum: 542427.15
Index 6 | Text: "45,218.68" | Numeric: 45218.68 | Running Sum: 587645.83
Index 7 | Text: "544,144.57" | Numeric: 544144.57 | Running Sum: 1131790.40
Index 8 | Text: "1,131,790.40" | Numeric: 1131790.4 | Running Sum: 2263580.80
Index 9 | Text: "41,175.72" | Numeric: 41175.72 | Running Sum: 2304756.52
Index 10 | Text: "1,891,779.88" | Numeric: 1891779.88 | Running Sum: 4196536.40
Index 11 | Text: "441,545.80" | Numeric: 441545.8 | Running Sum: 4638082.20
Index 12 | Text: "269,062.40" | Numeric: 269062.4 | Running Sum: 4907144.60
Index 13 | Text: "189,629.11" | Numeric: 189629.11 | Running Sum: 5096773.71
Index 14 | Text: "124,451.16" | Numeric: 124451.16 | Running Sum: 5221224.87
Index 15 | Text: "139,621.37" | Numeric: 139621.37 | Running Sum: 5360846.24
Index 16 | Text: "1,963,737.13" | Numeric: 1963737.13 | Running Sum: 7324583.37
Index 17 | Text: "5,061,002.57" | Numeric: 5061002.57 | Running Sum: 12385585.94
Index 18 | Text: "357,699.38" | Numeric: 357699.38 | Running Sum: 12743285.32
Index 19 | Text: "1,286,419.99" | Numeric: 1286419.99 | Running Sum: 14029705.31
Index 20 | Text: "311,897.74" | Numeric: 311897.74 | Running Sum: 14341603.05
Index 21 | Text: "241,666.67" | Numeric: 241666.67 | Running Sum: 14583269.72
Index 22 | Text: "161,678.77" | Numeric: 161678.77 | Running Sum: 14744948.49
Index 23 | Text: "175,154.81" | Numeric: 175154.81 | Running Sum: 14920103.30
Index 24 | Text: "85,196.01" | Numeric: 85196.01 | Running Sum: 15005299.31
Index 25 | Text: "2,537,130.62" | Numeric: 2537130.62 | Running Sum: 17542429.93
Index 26 | Text: "" | Numeric: 0 | Running Sum: 17542429.93
Index 27 | Text: "" | Numeric: 0 | Running Sum: 17542429.93
Index 28 | Text: "" | Numeric: 0 | Running Sum: 17542429.93
Index 29 | Text: "" | Numeric: 0 | Running Sum: 17542429.93
Index 30 | Text: "" | Numeric: 0 | Running Sum: 17542429.93
Index 31 | Text: "" | Numeric: 0 | Running Sum: 17542429.93
Index 32 | Text: "" | Numeric: 0 | Running Sum: 17542429.93
Index 33 | Text: "10,620,439.11" | Numeric: 10620439.11 | Running Sum: 28162869.04
Index 34 | Text: "10,620,439.11" | Numeric: 10620439.11 | Running Sum: 38783308.15
Index 35 | Text: "556,017.90" | Numeric: 556017.9 | Running Sum: 39339326.05
Index 36 | Text: "3,370,700.94" | Numeric: 3370700.94 | Running Sum: 42710026.99
Index 37 | Text: "827,685.20" | Numeric: 827685.2 | Running Sum: 43537712.19
Index 38 | Text: "570,860.48" | Numeric: 570860.48 | Running Sum: 44108572.67
Index 39 | Text: "380,985.93" | Numeric: 380985.93 | Running Sum: 44489558.60
Index 40 | Text: "328,338.13" | Numeric: 328338.13 | Running Sum: 44817896.73
Index 41 | Text: "270,036.06" | Numeric: 270036.06 | Running Sum: 45087932.79
Index 42 | Text: "13,045,738.06" | Numeric: 13045738.06 | Running Sum: 58133670.85
Total Sum of all values: 58133670.85
